id_gurney: gur001, occupied: True, id_patient: 123
id_gurney: gur002, occupied: False, id_patient: none
id_gurney: gur003, occupied: False, id_patient: none
id_gurney: gur004, occupied: False, id_patient: none
id_gurney: gur005, occupied: False, id_patient: none
id_gurney: gur006, occupied: False, id_patient: none
id_gurney: gur007, occupied: False, id_patient: none
id_gurney: gur008, occupied: False, id_patient: none
id_gurney: gur009, occupied: False, id_patient: none
id_gurney: gur010, occupied: False, id_patient: none
id_gurney: gur011, occupied: False, id_patient: none
id_gurney: gur012, occupied: False, id_patient: none
id_gurney: gur013, occupied: False, id_patient: none
id_gurney: gur014, occupied: False, id_patient: none
id_gurney: gur015, occupied: False, id_patient: none
id_gurney: gur016, occupied: False, id_patient: none
id_gurney: gur017, occupied: False, id_patient: none
id_gurney: gur018, occupied: False, id_patient: none
id_gurney: gur019, occupied: False, id_patient: none
id_gurney: gur020, occupied: False, id_patient: none
id_gurney: gur021, occupied: False, id_patient: none
id_gurney: gur022, occupied: False, id_patient: none
id_gurney: gur023, occupied: False, id_patient: none
id_gurney: gur024, occupied: False, id_patient: none
id_gurney: gur025, occupied: False, id_patient: none
id_gurney: gur026, occupied: False, id_patient: none
id_gurney: gur027, occupied: False, id_patient: none
id_gurney: gur028, occupied: False, id_patient: none
id_gurney: gur029, occupied: False, id_patient: none
id_gurney: gur030, occupied: False, id_patient: none
id_gurney: gur031, occupied: False, id_patient: none
id_gurney: gur032, occupied: False, id_patient: none
id_gurney: gur033, occupied: False, id_patient: none
id_gurney: gur034, occupied: False, id_patient: none
id_gurney: gur035, occupied: False, id_patient: none
id_gurney: gur036, occupied: False, id_patient: none
id_gurney: gur037, occupied: False, id_patient: none
id_gurney: gur038, occupied: False, id_patient: none
id_gurney: gur039, occupied: False, id_patient: none
id_gurney: gur040, occupied: False, id_patient: none
id_gurney: gur041, occupied: False, id_patient: none
id_gurney: gur042, occupied: False, id_patient: none
id_gurney: gur043, occupied: False, id_patient: none
id_gurney: gur044, occupied: False, id_patient: none
id_gurney: gur045, occupied: False, id_patient: none
id_gurney: gur046, occupied: False, id_patient: none
id_gurney: gur047, occupied: False, id_patient: none
id_gurney: gur048, occupied: False, id_patient: none
id_gurney: gur049, occupied: False, id_patient: none
id_gurney: gur050, occupied: False, id_patient: none
id_gurney: gur051, occupied: False, id_patient: none
id_gurney: gur052, occupied: False, id_patient: none
id_gurney: gur053, occupied: False, id_patient: none
id_gurney: gur054, occupied: False, id_patient: none
id_gurney: gur055, occupied: False, id_patient: none
id_gurney: gur056, occupied: False, id_patient: none
id_gurney: gur057, occupied: False, id_patient: none
id_gurney: gur058, occupied: False, id_patient: none
id_gurney: gur059, occupied: False, id_patient: none
id_gurney: gur060, occupied: False, id_patient: none
id_gurney: gur061, occupied: False, id_patient: none
id_gurney: gur062, occupied: False, id_patient: none
id_gurney: gur063, occupied: False, id_patient: none
id_gurney: gur064, occupied: False, id_patient: none
id_gurney: gur065, occupied: False, id_patient: none
id_gurney: gur066, occupied: False, id_patient: none
id_gurney: gur067, occupied: False, id_patient: none
id_gurney: gur068, occupied: False, id_patient: none
id_gurney: gur069, occupied: False, id_patient: none
id_gurney: gur070, occupied: False, id_patient: none
id_gurney: gur071, occupied: False, id_patient: none
id_gurney: gur072, occupied: False, id_patient: none
id_gurney: gur073, occupied: False, id_patient: none
id_gurney: gur074, occupied: False, id_patient: none
id_gurney: gur075, occupied: False, id_patient: none
id_gurney: gur076, occupied: False, id_patient: none
id_gurney: gur077, occupied: False, id_patient: none
id_gurney: gur078, occupied: False, id_patient: none
id_gurney: gur079, occupied: False, id_patient: none
id_gurney: gur080, occupied: False, id_patient: none
id_gurney: gur081, occupied: False, id_patient: none
id_gurney: gur082, occupied: False, id_patient: none
id_gurney: gur083, occupied: False, id_patient: none
id_gurney: gur084, occupied: False, id_patient: none
id_gurney: gur085, occupied: False, id_patient: none
id_gurney: gur086, occupied: False, id_patient: none
id_gurney: gur087, occupied: False, id_patient: none
id_gurney: gur088, occupied: False, id_patient: none
id_gurney: gur089, occupied: False, id_patient: none
id_gurney: gur090, occupied: False, id_patient: none
id_gurney: gur091, occupied: False, id_patient: none
id_gurney: gur092, occupied: False, id_patient: none
id_gurney: gur093, occupied: False, id_patient: none
id_gurney: gur094, occupied: False, id_patient: none
id_gurney: gur095, occupied: False, id_patient: none
id_gurney: gur096, occupied: False, id_patient: none
id_gurney: gur097, occupied: False, id_patient: none
id_gurney: gur098, occupied: False, id_patient: none
id_gurney: gur099, occupied: False, id_patient: none
id_gurney: gur0100, occupied: False, id_patient: none
id_gurney: gur0101, occupied: False, id_patient: none
id_gurney: gur0102, occupied: False, id_patient: none
id_gurney: gur0103, occupied: False, id_patient: none
id_gurney: gur0104, occupied: False, id_patient: none
id_gurney: gur0105, occupied: False, id_patient: none
id_gurney: gur0106, occupied: False, id_patient: none
id_gurney: gur0107, occupied: False, id_patient: none
id_gurney: gur0108, occupied: False, id_patient: none
id_gurney: gur0109, occupied: False, id_patient: none
id_gurney: gur0110, occupied: False, id_patient: none
id_gurney: gur0111, occupied: False, id_patient: none
id_gurney: gur0112, occupied: False, id_patient: none
id_gurney: gur0113, occupied: False, id_patient: none
id_gurney: gur0114, occupied: False, id_patient: none
id_gurney: gur0115, occupied: False, id_patient: none
id_gurney: gur0116, occupied: False, id_patient: none
id_gurney: gur0117, occupied: False, id_patient: none
id_gurney: gur0118, occupied: False, id_patient: none
id_gurney: gur0119, occupied: False, id_patient: none
id_gurney: gur0120, occupied: False, id_patient: none
id_gurney: gur0121, occupied: False, id_patient: none
id_gurney: gur0122, occupied: False, id_patient: none
id_gurney: gur0123, occupied: False, id_patient: none
id_gurney: gur0124, occupied: False, id_patient: none
id_gurney: gur0125, occupied: False, id_patient: none
id_gurney: gur0126, occupied: False, id_patient: none
id_gurney: gur0127, occupied: False, id_patient: none
id_gurney: gur0128, occupied: False, id_patient: none
id_gurney: gur0129, occupied: False, id_patient: none
id_gurney: gur0130, occupied: False, id_patient: none
id_gurney: gur0131, occupied: False, id_patient: none
id_gurney: gur0132, occupied: False, id_patient: none
id_gurney: gur0133, occupied: False, id_patient: none
id_gurney: gur0134, occupied: False, id_patient: none
id_gurney: gur0135, occupied: False, id_patient: none
id_gurney: gur0136, occupied: False, id_patient: none
id_gurney: gur0137, occupied: False, id_patient: none
id_gurney: gur0138, occupied: False, id_patient: none
id_gurney: gur0139, occupied: False, id_patient: none
id_gurney: gur0140, occupied: False, id_patient: none
id_gurney: gur0141, occupied: False, id_patient: none
id_gurney: gur0142, occupied: False, id_patient: none
id_gurney: gur0143, occupied: False, id_patient: none
id_gurney: gur0144, occupied: False, id_patient: none
id_gurney: gur0145, occupied: False, id_patient: none
id_gurney: gur0146, occupied: False, id_patient: none
id_gurney: gur0147, occupied: False, id_patient: none
id_gurney: gur0148, occupied: False, id_patient: none
id_gurney: gur0149, occupied: False, id_patient: none
